"calendar_id","title","schedule_dt","schedule_time","tag","img_url","content","rgst_dt"
CD120260604070454163000104,2026 Seoul Gugak Festival,"20260619","","001",https://file-v2.goodduck.xyz/calendar/p-center/7da7045afdc950ba709a045eba6b833d534909c2754ca90c17c194d850bb1c1e.jpg,"","2026-06-04 16:04:54"
CD120260521092644578507428,2026 Palette Festival,"20260705","","001",https://file-v2.goodduck.xyz/calendar/p-center/95b339728546f43c49d54b737de67c72c1dd745ad279fc1a2f3800997032d917.jpeg,"","2026-05-21 18:26:44"
CD120260519071011814005439,"2026 JUMF","20260816","","001",https://file-v2.goodduck.xyz/calendar/p-center/203e738be1fdb0019961044559d358531b9f914c8249c5375f8e38053410d9dd.jpeg,"","2026-05-19 16:10:11"
CD20260504122636442812102,EBS SPACE Gonggam,"20260623","1930","001",https://file-v2.goodduck.xyz/calendar/thumbnail/37e6ff5e05d3f9b2d2ae76db01e0706e9aeedc897ad381abb68409fa9556a04f.jpeg,"","2026-05-04 12:26:36"
CD20260503231941078071324,Sejong Bohemian Stage,"20260627","1430","001",https://file-v2.goodduck.xyz/calendar/thumbnail/4768f0a0d0a46b948319918b87ee5e4f38fe9755ee884d152cb7913b77825510.png,"","2026-05-03 23:19:41"
CD20260323205021441693203,Namwon Chunhyang Festival,"20260503","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/7287e941d5236a619f06d7108501de01f38bad5cced8335f15727f4551796a07.jpeg,"","2026-03-23 20:50:21"
CD120260313054236718950546,Sound Planet Festival,"20260906","","001",,"","2026-03-13 14:42:36"
CD120260313054150684948666,Beautiful Mint Life,"20260531","","001",,"","2026-03-13 14:41:50"
CD120260313054103325947095,Hero Rock Festival,"20260425","","001",,"","2026-03-13 14:41:03"
CD202507211330058496,Pungryu Machi 2025,"20250906","1700","001",https://file-v2.goodduck.xyz/calendar/thumbnail/8ea4103e204113b7bd25d9a7ae71e2319e9baf6bf420e3926e65b19e8c304c24.jpeg,"","2025-07-21 13:30:58"
CD202507112122014267,Ulsan Summer Festival,"20250807","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/201db9ab293e9973ee1ee118ec5b000206433ac9ee8e369de7af9918befc0bf7.jpeg,"","2025-07-11 21:22:14"
CD202507041735055458,Gyeongju Cultural Center 1918 Amuse Concert,"20250727","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/78650f108719df8e873f2e31a18cf889df66b762a5dce96ff82fa0ffcaa491a5.jpeg,"","2025-07-04 17:35:55"
CD202506061909052516,KOREA TRAVEL FESTA 2025 in Vietnam🇻🇳,"20250622","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/b2a8d01cd938f31c14d05c3512d29f97fb2a4985f35b087d0abdff60cf5bc361.png,"","2025-06-06 19:09:52"
CD202506061649022289,JUMF2025,"20250816","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/2df565c98c501a0c336959d68cd6155731ef06b1b017aa74ef204501d4b8ddb7.jpeg,"","2025-06-06 16:49:22"
CD202506061647050011,2025 Incheon Pentaport Rock Festival,"20250802","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/6221f4f170d96f489c54b55f4c606d98f4904bbe8671d2381e082acbb8820a97.jpeg,"","2025-06-06 16:47:50"
CD202504251513014611,「WE 2025」,"20250531","1800","001",https://file-v2.goodduck.xyz/calendar/thumbnail/19ce3c8ea833eb9fb1a1cc809857a5c3bf5bac7f31216d36738d02f791646f53.jpeg,"","2025-04-25 15:13:14"
CD202504171244015536,Sound Planet Festival 2025,"20250914","","001",https://file-v2.goodduck.xyz/calendar/thumbnail/dd29ac638f59fe4a5ffa11437e7e87f85132c4f85462dfbd38a83e99aa75a1e4.png,"","2025-04-17 12:44:15"
CD202504161127001593,Modu Moru Festival,"20250503","1800","001",https://file-v2.goodduck.xyz/calendar/thumbnail/342061f2178f5d9e1ecc5a0ca3c23545f50d912f5a1b11fc0fd9732cbb367ce9.png,"","2025-04-16 11:27:01"
CD202504101209048644,Rolling Hall 30th Anniversary Solo Concert,"20250517","1700","001",https://file-v2.goodduck.xyz/calendar/thumbnail/63c769eae845fe7008a0c4506bfac65e4db2194d7be440eb349da2f9f9334913.jpeg,"","2025-04-10 12:09:48"
CD202503211903010647,"29CM STAGE","20250418","2000","001",https://file-v2.goodduck.xyz/calendar/thumbnail/1a45c6b7c042912b457f608cafe29841bb86937f968193dac594d10ba03d845e.jpeg,"","2025-03-21 19:03:11"
CD202503130048028757,Growing Jangseong Rock Festival,"20250419","1800","001",https://file-v2.goodduck.xyz/calendar/thumbnail/9920e340185817f0ea3809b8f45f6c7878d6db2de8091cf8420efa2cfa8f43c7.jpeg,"","2025-03-13 00:48:29"
CD202502131401010666,Jeonbuk Hyundai Motors FC Opening Ceremony,"20250216","1630","001",https://file-v2.goodduck.xyz/calendar/thumbnail/42e854a4c0d3e310766b92a777c5dac232b76a7901b89f0f122b68139fe2adce.jpeg,"","2025-02-13 14:01:10"
CD202501161615013811,GUCKKASTEN x KARDI SUDDENLY ROCK FESTA - Ansan,"20250329","1700","001",https://file-v2.goodduck.xyz/calendar/thumbnail/71ac0aa2aee5524142d6e417357a40300ee20275b23d17447c379d018b64a7f1.jpeg,"","2025-01-16 16:15:14"
CD202410151805034756,Solo Concert RED ZONE 2024,"20241201","1800","001",https://file-v2.goodduck.xyz/calendar/thumbnail/9b72815e90935ee3c5823cba78d9ebdc86f25ba9e1afda44123acd9da5990fa8.jpeg,"","2024-10-15 18:05:35"
CD202410151805008675,Solo Concert RED ZONE 2024,"20241130","1900","001",https://file-v2.goodduck.xyz/calendar/thumbnail/ab1943e31860b7a0d65d6aea0d6290aa4f95ccc413c62e6b2628f04df6398d3c.jpeg,"","2024-10-15 18:05:08"
